"","set_function","dwc_term"
"1","set_occurrences()","basisOfRecord"
"2","set_occurrences()","occurrenceID"
"3","set_scientific_name()","scientificName"
"4","set_coordinates()","decimalLatitude"
"5","set_coordinates()","decimalLongitude"
"6","set_coordinates()","geodeticDatum"
"7","set_coordinates()","coordinateUncertaintyInMeters"
"8","set_datetime()","eventDate"
"9","set_locality()","continent"
"10","set_locality()","country"
"11","set_locality()","countryCode"
"12","set_locality()","stateProvince"
"13","set_locality()","locality"
"14","set_taxonomy()","kingdom"
"15","set_taxonomy()","phylum"
"16","set_taxonomy()","class"
"17","set_taxonomy()","order"
"18","set_taxonomy()","family"
"19","set_taxonomy()","genus"
"20","set_taxonomy()","specificEpithet"
"21","set_taxonomy()","vernacularName"
"22","set_abundance()","individualCount"
"23","set_abundance()","organismQuantity"
"24","set_abundance()","organismQuantityType"
"25","set_abundance()","organismQuantity"
"26","set_collection()","datasetID"
"27","set_collection()","datasetName"
"28","set_collection()","catalogNumber"
"29","set_coordinates()","coordinatePrecision"
"30","set_scientific_name()","taxonRank"
"31","set_scientific_name()","scientificNameAuthorship"
"32","set_datetime()","year"
"33","set_datetime()","month"
"34","set_datetime()","day"
"35","set_datetime()","eventTime"
"36","set_individual_traits()","individualID"
"37","set_individual_traits()","lifeStage"
"38","set_individual_traits()","sex"
"39","set_individual_traits()","vitality"
"40","set_individual_traits()","reproductiveCondition"
"41","set_observer()","recordedBy"
"42","set_observer()","recordedByID"
"43","set_events()","eventID"
"44","set_events()","eventType"
"45","set_events()","parentEventID"
